"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE","SOS","ECR VS ADP"
"177",9,"Philadelphia Eagles",PHI,"DST2","9","2 out of 5 stars","-52"
"178",9,"Blake Corum",LAR,"RB59","8","3 out of 5 stars","+16"
"179",9,"Chig Okonkwo",TEN,"TE21","10","3 out of 5 stars","+12"
"180",9,"Isaiah Likely",BAL,"TE22","7","3 out of 5 stars","+8"
"181",9,"Pittsburgh Steelers",PIT,"DST3","5","3 out of 5 stars","-42"
"182",9,"Baltimore Ravens",BAL,"DST4","7","3 out of 5 stars","-32"
"183",9,"Mason Taylor",NYJ,"TE23","9","3 out of 5 stars","+12"
"184",9,"Minnesota Vikings",MIN,"DST5","6","2 out of 5 stars","-30"
"185",9,"Pat Freiermuth",PIT,"TE24","5","3 out of 5 stars","+15"
"186",9,"Mike Gesicki",CIN,"TE25","10","2 out of 5 stars","+15"
"187",9,"DeAndre Hopkins",BAL,"WR71","7","3 out of 5 stars","-18"
"188",9,"Jalen Coker",CAR,"WR72","14","4 out of 5 stars","+110"
"189",9,"Cade Otton",TB,"TE26","9","3 out of 5 stars","-3"
"190",9,"Houston Texans",HOU,"DST6","6","2 out of 5 stars","-19"
"191",9,"Buffalo Bills",BUF,"DST7","7","5 out of 5 stars","+7"
"192",9,"Brandon Aubrey",DAL,"K1","10","4 out of 5 stars","-74"
"193",9,"Alec Pierce",IND,"WR73","11","4 out of 5 stars","+49"
"194",9,"Kansas City Chiefs",KC,"DST8","10","1 out of 5 stars","-19"
"195",9,"Ollie Gordon II",MIA,"RB60","12","4 out of 5 stars","+31"
"196",9,"Kyle Monangai",CHI,"RB61","5","3 out of 5 stars","+17"
"197",9,"Detroit Lions",DET,"DST9","8","1 out of 5 stars","-14"
"198",10,"Cameron Dicker",LAC,"K2","12","5 out of 5 stars","-66"
"199",10,"Aaron Rodgers",PIT,"QB28","5","4 out of 5 stars","-18"
"200",10,"Jake Bates",DET,"K3","8","1 out of 5 stars","-63"
"201",10,"Will Shipley",PHI,"RB62","9","3 out of 5 stars","+21"
"202",10,"MarShawn Lloyd",GB,"RB63","5","4 out of 5 stars","+49"
"203",10,"Seattle Seahawks",SEA,"DST10","8","3 out of 5 stars","+21"
"204",10,"Los Angeles Rams",LAR,"DST11","8","3 out of 5 stars","+14"
"205",10,"Wil Lutz",DEN,"K4","12","5 out of 5 stars","-8"
"206",10,"Ka'imi Fairbairn",HOU,"K5","6","3 out of 5 stars","-39"
"207",10,"Chase McLaughlin",TB,"K6","9","3 out of 5 stars","-22"
"208",10,"Michael Wilson",ARI,"WR74","8","4 out of 5 stars","+64"
"209",10,"Green Bay Packers",GB,"DST12","5","2 out of 5 stars","+14"
"210",10,"Justice Hill",BAL,"RB64","7","4 out of 5 stars","+9"
"211",10,"Los Angeles Chargers",LAC,"DST13","12","5 out of 5 stars","+57"
"212",10,"Adonai Mitchell",IND,"WR75","11","4 out of 5 stars","+62"
"213",10,"DJ Giddens",IND,"RB65","11","2 out of 5 stars","+30"
"214",10,"Darius Slayton",NYG,"WR76","14","2 out of 5 stars","+49"
"215",10,"Kareem Hunt",KC,"RB66","10","2 out of 5 stars","-41"
"216",10,"Daniel Jones",IND,"QB29","11","3 out of 5 stars","+39"
"217",10,"Kendre Miller",NO,"RB67","11","4 out of 5 stars","+48"
"218",10,"Jalen McMillan",TB,"WR77","9","3 out of 5 stars","-36"
"219",10,"Harrison Butker",KC,"K7","10","3 out of 5 stars","-29"
"220",10,"Chris Rodriguez Jr.",WAS,"RB68","12","2 out of 5 stars","+51"
"221",10,"Chris Boswell",PIT,"K8","5","1 out of 5 stars","-61"
"222",10,"Dalton Schultz",HOU,"TE27","6","3 out of 5 stars","+17"
"223",10,"Elic Ayomanor",TEN,"WR78","10","4 out of 5 stars","+44"
"224",10,"Woody Marks",HOU,"RB69","6","2 out of 5 stars","-10"
"225",10,"Tyler Bass",BUF,"K9","7","2 out of 5 stars","-19"
"226",10,"San Francisco 49ers",SF,"DST14","14","5 out of 5 stars","-27"
"227",10,"Keaton Mitchell",BAL,"RB70","7","4 out of 5 stars","+2"
"228",10,"Andrei Iosivas",CIN,"WR79","10","3 out of 5 stars","+45"
"229",10,"Miles Sanders",DAL,"RB71","10","2 out of 5 stars","+4"
"230",10,"New York Jets",NYJ,"DST15","9","5 out of 5 stars","+2"
"231",10,"Jack Bech",LV,"WR80","8","4 out of 5 stars","-52"
"232",10,"Evan McPherson",CIN,"K10","10","1 out of 5 stars","-28"
"233",10,"Ja'Tavion Sanders",CAR,"TE28","14","4 out of 5 stars","+21"
"234",10,"Tahj Brooks",CIN,"RB72","10","4 out of 5 stars","0"
"235",10,"Jaylin Noel",HOU,"WR81","6","4 out of 5 stars","+29"
"236",10,"Anthony Richardson Sr.",IND,"QB30","11","3 out of 5 stars","-47"
"237",10,"Jake Elliott",PHI,"K11","9","2 out of 5 stars","-29"
"238",10,"Juwan Johnson",NO,"TE29","11","3 out of 5 stars","+37"
"239",10,"Dontayvion Wicks",GB,"WR82","5","2 out of 5 stars","+67"
"240",10,"Pat Bryant",DEN,"WR83","12","3 out of 5 stars","+1"
"241",10,"Calvin Austin III",PIT,"WR84","5","4 out of 5 stars","+63"
"242",10,"Russell Wilson",NYG,"QB31","14","1 out of 5 stars","+4"
"243",10,"Tyler Lockett",TEN,"WR85","10","4 out of 5 stars","+39"
"244",10,"Elijah Arroyo",SEA,"TE30","8","4 out of 5 stars","-51"
"245",10,"Jarquez Hunter",LAR,"RB73","8","3 out of 5 stars","-5"
"246",10,"Jason Sanders",MIA,"K12","12","2 out of 5 stars","-2"
"247",10,"Tampa Bay Buccaneers",TB,"DST16","9","3 out of 5 stars","-37"
"248",10,"Jalen Royals",KC,"WR86","10","3 out of 5 stars","+13"
"249",10,"Roman Wilson",PIT,"WR87","5","4 out of 5 stars","+17"
"250",10,"Devin Neal",NO,"RB74","11","4 out of 5 stars","+27"
"251",10,"Sean Tucker",TB,"RB75","9","3 out of 5 stars","+28"
"252",10,"Raheem Mostert",LV,"RB76","8","2 out of 5 stars","+7"
"253",10,"Younghoe Koo",ATL,"K13","5","4 out of 5 stars","-50"
"254",10,"Jaleel McLaughlin",DEN,"RB77","12","2 out of 5 stars","+56"
"255",10,"Dyami Brown",JAC,"WR88","8","4 out of 5 stars","+21"
"256",10,"Matt Gay",WAS,"K14","12","3 out of 5 stars","-25"
"257",10,"Dallas Cowboys",DAL,"DST17","10","0 out of 5 stars","-30"
"258",10,"Brashard Smith",KC,"RB78","10","2 out of 5 stars","-10"
"259",10,"Cole Kmet",CHI,"TE31","5","4 out of 5 stars","+21"
"260",11,"Devaughn Vele",NO,"WR89","11","4 out of 5 stars","+68"
"261",11,"Tory Horton",SEA,"WR90","8","3 out of 5 stars","-9"
"262",11,"Elijah Mitchell",KC,"RB79","10","2 out of 5 stars","-2"
"263",11,"Joe Flacco",CLE,"QB32","9","2 out of 5 stars","-7"
"264",11,"Kenneth Gainwell",PIT,"RB80","5","4 out of 5 stars","+81"
"265",11,"Brandin Cooks",NO,"WR91","11","4 out of 5 stars","+74"
"266",11,"Trevor Etienne",CAR,"RB81","14","3 out of 5 stars","+17"
"267",11,"Joshua Karty",LAR,"K15","8","2 out of 5 stars","+2"
"268",11,"Dont'e Thornton Jr.",LV,"WR92","8","4 out of 5 stars","-48"
"269",11,"Theo Johnson",NYG,"TE32","14","2 out of 5 stars","+21"
"270",11,"Jalen Tolbert",DAL,"WR93","10","2 out of 5 stars","+27"
"271",11,"Ty Johnson",BUF,"RB82","7","4 out of 5 stars","+37"
"272",11,"Devin Singletary",NYG,"RB83","14","3 out of 5 stars","+31"
"273",11,"Diontae Johnson",CLE,"WR94","9","2 out of 5 stars","+34"
"274",11,"Kayshon Boutte",NE,"WR95","14","3 out of 5 stars","+22"
"275",11,"Dameon Pierce",HOU,"RB84","6","2 out of 5 stars","+24"
"276",11,"Elijah Moore",BUF,"WR96","7","3 out of 5 stars","+75"
"277",11,"Noah Gray",KC,"TE33","10","3 out of 5 stars","+25"
"278",11,"Nick Westbrook-Ikhine",MIA,"WR97","12","3 out of 5 stars","-"
"279",11,"Tre Tucker",LV,"WR98","8","4 out of 5 stars","+50"
"280",11,"Antonio Gibson",NE,"RB85","14","4 out of 5 stars","+4"
"281",11,"Audric Estime",DEN,"RB86","12","2 out of 5 stars","+57"
"282",11,"Malik Washington",MIA,"WR99","12","3 out of 5 stars","+29"
"283",11,"Harold Fannin Jr.",CLE,"TE34","9","3 out of 5 stars","+22"
"284",11,"Isaac TeSlaa",DET,"WR100","8","3 out of 5 stars","-39"
"285",11,"Isaiah Davis",NYJ,"RB87","9","5 out of 5 stars","+68"
"286",11,"Cleveland Browns",CLE,"DST18","9","3 out of 5 stars","-24"
"287",11,"Jaxson Dart",NYG,"QB33","14","1 out of 5 stars","-40"
"288",11,"Jalen Nailor",MIN,"WR101","6","2 out of 5 stars","+43"
"289",11,"Darren Waller",MIA,"TE35","12","3 out of 5 stars","-84"
"290",11,"Chicago Bears",CHI,"DST19","5","2 out of 5 stars","-52"
"291",11,"Tyler Shough",NO,"QB34","11","5 out of 5 stars","-38"
"292",11,"Jordan James",SF,"RB88","14","3 out of 5 stars","+2"
"293",11,"Khalil Herbert",IND,"RB89","11","2 out of 5 stars","-"
"294",11,"Parker Washington",JAC,"WR102","8","4 out of 5 stars","+62"
"295",11,"Terrance Ferguson",LAR,"TE36","8","4 out of 5 stars","-4"
"296",11,"Daniel Carlson",LV,"K16","8","3 out of 5 stars","-68"
"297",11,"Kimani Vidal",LAC,"RB90","12","2 out of 5 stars","+57"
"298",11,"Tim Patrick",DET,"WR103","8","3 out of 5 stars","-"
"299",11,"Emanuel Wilson",GB,"RB91","5","4 out of 5 stars","+50"
"300",11,"Sincere McCormick",LV,"RB92","8","2 out of 5 stars","-"
"301",11,"Luke McCaffrey",WAS,"WR104","12","3 out of 5 stars","-"
"302",11,"Damien Martinez",SEA,"RB93","8","3 out of 5 stars","+53"
"303",11,"Will Reichard",MIN,"K17","6","0 out of 5 stars","-66"
"304",11,"Taysom Hill",NO,"TE37","11","3 out of 5 stars","+5"
"305",11,"Tyler Loop",BAL,"K18","7","2 out of 5 stars","-103"
"306",11,"Christian Watson",GB,"WR105","5","2 out of 5 stars","+24"
"307",11,"Chris Brooks",GB,"RB94","5","4 out of 5 stars","-"
"308",12,"Phil Mafah",DAL,"RB95","10","2 out of 5 stars","+49"
"309",12,"Ty Chandler",MIN,"RB96","6","3 out of 5 stars","-"
"310",12,"Xavier Restrepo",TEN,"WR106","10","4 out of 5 stars","+9"
"311",12,"Noah Fant",CIN,"TE38","10","2 out of 5 stars","+33"
"312",12,"Ray-Ray McCloud III",ATL,"WR107","5","3 out of 5 stars","-26"
"313",12,"Jermaine Burton",CIN,"WR108","10","3 out of 5 stars","+37"
"314",12,"Oronde Gadsden II",LAC,"TE39","12","3 out of 5 stars","+10"
"315",12,"Raheim Sanders",LAC,"RB97","12","2 out of 5 stars","-"
"316",12,"Amari Cooper",FA,"WR109","-","-","-27"
"317",12,"New England Patriots",NE,"DST20","14","4 out of 5 stars","-81"
"318",12,"Tyler Higbee",LAR,"TE40","8","4 out of 5 stars","-25"
"319",12,"Troy Franklin",DEN,"WR110","12","3 out of 5 stars","-49"
"320",12,"Zamir White",LV,"RB98","8","2 out of 5 stars","-"
"321",12,"Tutu Atwell",LAR,"WR111","8","3 out of 5 stars","+11"
"322",12,"Shedeur Sanders",CLE,"QB35","9","2 out of 5 stars","-130"
"323",12,"Samaje Perine",CIN,"RB99","10","4 out of 5 stars","-5"
"324",12,"Arizona Cardinals",ARI,"DST21","8","4 out of 5 stars","-74"
"325",12,"Tez Johnson",TB,"WR112","9","3 out of 5 stars","-"
"326",12,"Ben Sinnott",WAS,"TE41","12","3 out of 5 stars","+8"
"327",12,"Will Dissly",LAC,"TE42","12","3 out of 5 stars","-"
"328",12,"Spencer Rattler",NO,"QB36","11","5 out of 5 stars","-47"
"329",12,"Josh Reynolds",NYJ,"WR113","9","4 out of 5 stars","-"
"330",12,"Jason Myers",SEA,"K19","8","5 out of 5 stars","-"
"331",12,"Tyler Conklin",LAC,"TE43","12","3 out of 5 stars","-30"
"332",12,"Miami Dolphins",MIA,"DST22","12","2 out of 5 stars","-97"
"333",12,"Jordan Whittington",LAR,"WR114","8","3 out of 5 stars","0"
"334",12,"A.J. Dillon",PHI,"RB100","9","3 out of 5 stars","-47"
"335",12,"Noah Brown",WAS,"WR115","12","3 out of 5 stars","-15"
"336",12,"Zack Moss",FA,"RB101","-","-","-44"
"337",12,"KaVontae Turpin",DAL,"WR116","10","2 out of 5 stars","-14"
"338",12,"Cam Akers",NO,"RB102","11","4 out of 5 stars","-"
"339",12,"Gabe Davis",FA,"WR117","-","-","-"
"340",12,"AJ Barner",SEA,"TE44","8","4 out of 5 stars","-"
"341",12,"Demarcus Robinson",SF,"WR118","14","4 out of 5 stars","0"
"342",12,"Jalen Milroe",SEA,"QB37","8","4 out of 5 stars","-54"
"343",12,"Michael Mayer",LV,"TE45","8","2 out of 5 stars","-"
"344",12,"Marquez Valdes-Scantling",SEA,"WR119","8","3 out of 5 stars","-4"
"345",12,"KeAndre Lambert-Smith",LAC,"WR120","12","3 out of 5 stars","-29"
"346",12,"Dawson Knox",BUF,"TE46","7","3 out of 5 stars","-"
"347",12,"New York Giants",NYG,"DST23","14","1 out of 5 stars","-132"
"348",12,"John Metchie III",PHI,"WR121","9","3 out of 5 stars","-"
"349",12,"Jaylin Lane",WAS,"WR122","12","3 out of 5 stars","-"
"350",12,"Tai Felton",MIN,"WR123","6","2 out of 5 stars","+2"
"351",12,"Isaiah Bond",CLE,"WR124","9","2 out of 5 stars","-4"
"352",12,"Brandon McManus",GB,"K20","5","3 out of 5 stars","-122"
